Unnamed: 0,question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justification
0,"A gradual drop in the water level of a large lake divided it into three smaller lakes. The division separated a single population of fish into three smaller, isolated populations. After many generations it was determined that the three populations of fish had become three separate species. Which of the following is most likely correct about the three species?",There are differences in the amino acid specified by each codon among the species.,There are differences in the type of cleavage that produces the first blastomeres among the species.,There are differences in the nucleotide sequences of certain gene alleles among the species.,There are differences in the composition of ribosomes among the species.,C,high_school_biology,val,C,"[<OpenAIObject at 0x7ff5f001c950> JSON: {
  "" C"": -12.331434,
  ""A"": -16.377289,
  ""B"": -17.657154,
  ""C"": -4.6010214e-06,
  ""c"": -16.137417
}]","The three populations of fish became three separate species due to the gradual drop in the water level of the large lake, which isolated them from each other. This isolation led to genetic drift, which is the random change in the frequency of alleles in a population due to chance. This can lead to differences in the nucleotide sequences of certain gene alleles among the species, which is the most likely correct answer."
26,"The upper forelimbs of humans and bats have fairly similar skeletal structures, whereas the corresponding bones in whales have very different shapes and proportions. However, genetic data suggest that all three kinds of organisms diverged from a common ancestor at about the same time. Which of the following is the most likely explanation for these data?","Forelimb evolution was adaptive in people and bats, but not in whales.",Natural selection in an aquatic environment resulted in significant changes to whale forelimb anatomy.,"Humans and bats evolved by natural selection, and whales evolved by Lamarckian mechanisms.",Genes mutate faster in whales than in humans or bats.,B,high_school_biology,val,B,"[<OpenAIObject at 0x7ff5f000ebd0> JSON: {
  "" A"": -14.050419,
  "" B"": -11.808615,
  ""A"": -2.915389,
  ""B"": -0.05571689,
  ""b"": -13.323617
}]","The most likely explanation for the data is that natural selection in an aquatic environment resulted in significant changes to whale forelimb anatomy. This is because whales live in an aquatic environment, which would have different selection pressures than the terrestrial environment in which humans and bats live. This would lead to different adaptations in the forelimbs of whales compared to humans and bats, resulting in the different shapes and proportions of the corresponding bones."
2,"A cell from the leaf of the aquatic plant Elodea was soaked in a 15 percent sugar solution, and its contents soon separated from the cell wall and formed a mass in the center of the cell. All of the following statements are true about this event EXCEPT",the space between the cell wall and the cell membrane expanded,the large vacuole contained a solution with much lower osmotic pressure than that of the sugar solution,the vacuole lost water and became smaller,the concentration of solutes in the extracellular environment is hypertonic with respect to the cell's interior,D,high_school_biology,val,C,"[<OpenAIObject at 0x7ff5f001cb80> JSON: {
  "" C"": -8.880677,
  ""B"": -8.718632,
  ""C"": -0.008160321,
  ""D"": -4.8566785,
  ""c"": -10.424111
}]","The correct answer is C. When a cell is placed in a hypertonic solution, the concentration of solutes in the extracellular environment is higher than that of the cell's interior. This causes water to move out of the cell, and the vacuole to expand. The vacuole does not become smaller in this situation."
23,The synthesis of new proteins necessary for lactose utilization by the bacterium E. coli using the lac operon is regulated,at the transcription stage,at the translation stage,by the synthesis of additional ribosomes,by differential replication of the DNA that codes for lactose-utilizing mechanisms,A,high_school_biology,val,A,"[<OpenAIObject at 0x7ff5f000ed10> JSON: {
  "" A"": -12.549202,
  ""A"": -4.0040345e-06,
  ""B"": -16.853655,
  ""D"": -14.96035,
  ""a"": -16.110924
}]","The synthesis of new proteins necessary for lactose utilization by the bacterium E. coli using the lac operon is regulated at the transcription stage. The lac operon is a set of genes that are regulated by a repressor protein. When lactose is present, the repressor protein is inactivated, allowing the genes to be transcribed and the proteins necessary for lactose utilization to be synthesized."
7,"The moist skin of earthworms, spiracles of grasshoppers, and the mucus membranes lining alveoli are all associated with the process of",respiration,circulation,excretion,digestion,A,high_school_biology,val,A,"[<OpenAIObject at 0x7ff5f000f220> JSON: {
  "" A"": -12.431618,
  ""A"": -4.0040345e-06,
  ""C"": -16.24375,
  ""D"": -17.795769,
  ""a"": -17.15368
}]","The moist skin of earthworms, spiracles of grasshoppers, and the mucus membranes lining alveoli are all associated with the process of respiration. The moist skin of earthworms helps to regulate the exchange of gases, while the spiracles of grasshoppers allow for the intake of oxygen and the release of carbon dioxide. The mucus membranes lining alveoli are involved in the exchange of oxygen and carbon dioxide between the air and the blood."
11,Which of the following processes occur in the cytoplasm of an eukaryotic cell? I. DNA replication II. Transcription III. Translation,III only,II and III only,I only,"I, II, and III",A,high_school_biology,val,B,"[<OpenAIObject at 0x7ff5f000f400> JSON: {
  "" B"": -10.920532,
  ""A"": -12.507943,
  ""B"": -0.07165335,
  ""D"": -2.671911,
  ""b"": -13.207411
}]","DNA replication occurs in the nucleus of eukaryotic cells, while transcription and translation occur in the cytoplasm. Therefore, the correct answer is (B) II and III only."
30,Which of the following tends to be highest on the trophic pyramid?,Herbivores,Primary carnivores,Primary consumers,Primary producers,B,high_school_biology,val,D,"[<OpenAIObject at 0x7ff5f000f590> JSON: {
  "" D"": -12.643549,
  ""A"": -12.000008,
  ""C"": -14.633023,
  ""D"": -9.966347e-06,
  ""d"": -16.152819
}]","The trophic pyramid is a representation of the different levels of the food chain. At the bottom of the pyramid are the primary producers, which are typically plants and other photosynthetic organisms. These organisms are the source of energy for the rest of the food chain. Above the primary producers are the primary consumers, which are typically herbivores. Above the primary consumers are the secondary consumers, which are typically carnivores. At the top of the pyramid are the tertiary consumers, which are typically the top predators in the food chain."
14,Which definition of evolution would have been most foreign to Charles Darwin during his lifetime?,descent with modification,the gradual change of a population's heritable traits over generations,change in gene frequency in gene pools,populations becoming better adapted to their environments over the course of generations,C,high_school_biology,val,C,"[<OpenAIObject at 0x7ff5f000f630> JSON: {
  "" C"": -11.342077,
  ""A"": -13.404674,
  ""C"": -1.6521892e-05,
  ""D"": -12.877457,
  ""c"": -14.74351
}]","Charles Darwin did not have access to the concept of gene frequency, which was not discovered until the early 20th century. Therefore, the definition of evolution that would have been most foreign to him during his lifetime would be ""change in gene frequency in gene pools."""
19,Which of these naturalists synthesized a concept of natural selection independently of Darwin?,Gregor Mendel,Alfred Wallace,Charles Lyell,John Henslow,B,high_school_biology,val,B,"[<OpenAIObject at 0x7ff5f000f770> JSON: {
  "" B"": -11.882375,
  ""A"": -13.513922,
  ""B"": -9.606849e-06,
  ""D"": -15.444854,
  ""b"": -13.71036
}]","Alfred Wallace independently synthesized the concept of natural selection, which was later popularized by Charles Darwin. Gregor Mendel is known for his work on genetics and the laws of inheritance, Charles Lyell was a geologist who proposed the idea of uniformitarianism, and John Henslow was a botanist who was a mentor to Charles Darwin."
1,Hawkmoths are insects that are similar in appearance and behavior to hummingbirds. Which of the following is LEAST valid?,These organisms were subjected to similar environmental conditions.,These organisms are genetically related to each other.,These organisms are examples of convergent evolution.,These organisms have analogous structures.,B,high_school_biology,val,B,"[<OpenAIObject at 0x7ff5f000f810> JSON: {
  "" B"": -10.680687,
  ""A"": -13.661819,
  ""B"": -2.9519388e-05,
  ""C"": -13.071372,
  ""D"": -12.69173
}]","Hawkmoths and hummingbirds are examples of convergent evolution, meaning that they evolved similar traits independently of each other due to similar environmental conditions. They have analogous structures, meaning that they have similar structures that serve the same purpose, but they are not genetically related to each other."
20,"In reptile eggs, the extraembryonic membrane that functions in excretion and respiration is the",chorion,allantois,amnion,yolk sac,B,high_school_biology,val,B,"[<OpenAIObject at 0x7ff5f000f950> JSON: {
  "" B"": -10.2129,
  ""A"": -10.309784,
  ""B"": -8.232979e-05,
  ""C"": -12.515601,
  ""D"": -12.015778
}]",The allantois is an extraembryonic membrane found in reptile eggs that functions in excretion and respiration. The chorion is an extraembryonic membrane found in reptile eggs that functions in gas exchange and protection. The amnion is an extraembryonic membrane found in reptile eggs that functions in protection and fluid regulation. The yolk sac is an extraembryonic membrane found in reptile eggs that functions in nutrition.
31,Which of the following changes in a gamete is most likely to lead to a heritable change in a protein?,Deleting two nucleotides immediately upstream of a gene promoter,Inserting two nucleotides in the genome at the beginning of a codon,Deleting two nucleotides from the middle of an intron,Adding two nucleotides to the poly(A) tail of an mRNA,B,high_school_biology,val,B,"[<OpenAIObject at 0x7ff5f000f9f0> JSON: {
  "" B"": -10.265752,
  ""A"": -13.145584,
  ""B"": -4.716134e-05,
  ""C"": -14.863141,
  ""D"": -11.534931
}]","Inserting two nucleotides in the genome at the beginning of a codon is most likely to lead to a heritable change in a protein because it can alter the codon, which is the sequence of three nucleotides that codes for a specific amino acid. This change in the codon can lead to a change in the amino acid sequence of the protein, which is heritable. Deleting two nucleotides immediately upstream of a gene promoter, deleting two nucleotides from the middle of an intron, and adding two nucleotides to the poly(A) tail of an mRNA are all unlikely to lead to a heritable change in a protein."
29,Which of the following is an example of a coupling of an exergonic reaction with an endergonic one?,The enzyme lactase binds with lactose to produce molecules of glucose and galactose.,Electrons escaping from chlorophyll a are replaced by those released by the hydrolysis of water.,"Unicellular organisms that live in freshwater, such as amoeba, must pump out excess water using their contractile vacuoles.",The flow of electrons down an electron transport chain in mitochondria powers the pumping of protons against a gradient into the outer compartment.,D,high_school_biology,val,D,"[<OpenAIObject at 0x7ff5f000f8b0> JSON: {
  "" B"": -14.06156,
  "" D"": -10.8743,
  ""A"": -7.246042,
  ""B"": -4.2318025,
  ""D"": -0.015377514
}]",The flow of electrons down an electron transport chain in mitochondria powers the pumping of protons against a gradient into the outer compartment. This is an example of a coupling of an exergonic reaction (the flow of electrons down the electron transport chain) with an endergonic one (the pumping of protons against a gradient).
13,Destruction of all beta cells in the pancreas will cause which of the following to occur?,Glucagon secretion will stop and blood glucose levels will decrease.,Glucagon secretion will stop and digestive enzymes will be secreted.,Glucagon secretion will stop and blood glucose levels will increase.,Insulin secretion will stop and blood glucose levels will increase.,D,high_school_biology,val,D,"[<OpenAIObject at 0x7ff5f000fc70> JSON: {
  ""\n"": -18.170424,
  "" D"": -11.121209,
  ""C"": -9.262895,
  ""D"": -0.00010987075,
  ""d"": -15.392393
}]","Destruction of all beta cells in the pancreas will cause insulin secretion to stop and blood glucose levels to increase. Beta cells in the pancreas are responsible for the secretion of insulin, which helps to regulate blood glucose levels. When the beta cells are destroyed, insulin secretion stops and blood glucose levels increase."
24,All of the following statements describe the unique characteristics of water EXCEPT,it forms hydrogen bonds with disaccharides,it can dissociate into hydrogen ions and hydroxide ions,it is a polar solvent,it is a hydrophobic solvent,D,high_school_biology,val,D,"[<OpenAIObject at 0x7ff5f000fd10> JSON: {
  "" D"": -11.354085,
  ""A"": -14.586525,
  ""B"": -15.028096,
  ""C"": -16.161987,
  ""D"": -1.2708151e-05
}]","Water is a polar solvent, meaning it has a positive and negative end. This allows it to form hydrogen bonds with other molecules, such as disaccharides. It can also dissociate into hydrogen ions and hydroxide ions, which is important for pH regulation. However, water is not a hydrophobic solvent, meaning it does not repel water molecules."
3,Which of Darwin's ideas had the strongest connection to Darwin having read Malthus's essay on human population growth?,Variation among individuals in a population,Struggle for existence,Descent with modification,"The ability of related species to be conceptualized in ""tree thinking""",B,high_school_biology,val,B,"[<OpenAIObject at 0x7ff5f000fe50> JSON: {
  "" B"": -11.519793,
  ""A"": -14.118351,
  ""B"": -1.1398727e-05,
  ""D"": -15.91085,
  ""b"": -14.43017
}]","Darwin's idea of the ""struggle for existence"" was strongly influenced by Malthus's essay on human population growth. Malthus argued that human populations tend to grow exponentially, while resources remain limited, leading to competition for resources and a struggle for existence. Darwin applied this idea to the natural world, arguing that competition for resources and a struggle for existence was a major factor in the evolution of species."
17,All of the following are differences between prokaryotes and eukaryotes EXCEPT,"eukaryotes possess double stranded DNA, while prokaryotes possess single stranded DNA","eukaryotes process their mRNA, while in prokaryotes, transcription and translation occur simultaneously","eukaryotes have linear chromosomes, while prokaryotes have circular chromosomes","eukaryotes contain membrane-bound organelles, while prokaryotes do not",C,high_school_biology,val,B,"[<OpenAIObject at 0x7ff5f000ff40> JSON: {
  "" A"": -11.044093,
  "" B"": -10.009459,
  ""A"": -1.1976638,
  ""B"": -0.36479715,
  ""C"": -5.60078
}]","Prokaryotes and eukaryotes differ in many ways. Prokaryotes possess single stranded DNA, while eukaryotes possess double stranded DNA. Prokaryotes do not process their mRNA, and transcription and translation occur simultaneously. Eukaryotes have linear chromosomes, while prokaryotes have circular chromosomes. Eukaryotes contain membrane-bound organelles, while prokaryotes do not. Therefore, the correct answer is (B)."
0,Which of the following is not a way to form recombinant DNA?,Conjugation,Specialized transduction,Translation,Transformation,C,high_school_biology,dev,C,"[<OpenAIObject at 0x7ff5f001c860> JSON: {
  "" C"": -10.999821,
  ""B"": -15.157483,
  ""C"": -1.7595703e-05,
  ""D"": -14.47415,
  ""c"": -15.936527
}]","Recombinant DNA is formed when two different DNA molecules are combined to form a new DNA molecule. This can be done through a variety of methods, such as conjugation, specialized transduction, and transformation. However, translation is not a way to form recombinant DNA, as it is the process of translating genetic information from DNA into proteins."
1,A mutation in a bacterial enzyme changed a previously polar amino acid into a nonpolar amino acid. This amino acid was located at a site distant from the enzyme’s active site. How might this mutation alter the enzyme’s substrate specificity?,By changing the enzyme’s location in the cell,By changing the shape of the protein,By changing the enzyme’s pH optimum,An amino acid change away from the active site cannot alter the enzyme’s substrate specificity.,B,high_school_biology,dev,B,"[<OpenAIObject at 0x7ff5f000e090> JSON: {
  "" B"": -12.004766,
  ""A"": -16.407753,
  ""B"": -6.6294406e-06,
  ""D"": -15.505042,
  ""b"": -15.43617
}]","The mutation of a polar amino acid to a nonpolar amino acid at a site distant from the enzyme's active site can alter the enzyme's substrate specificity by changing the shape of the protein. This is because the shape of the protein is determined by the arrangement of the amino acids, and a change in the amino acid composition can cause the protein to fold differently. This can affect the enzyme's ability to bind to its substrate, thus altering its substrate specificity."
2,"In animal cells, which of the following represents the most likely pathway that a secretory protein takes as it is synthesized in a cell?",Ribosome–Golgi apparatus–rough ER–secretory vesicle–plasma membrane,Plasma membrane–Golgi apparatus–ribosome–secretory vesicle–rough ER,Plasma membrane–Golgi apparatus–ribosome–secretory vesicle–rough ER,Ribosome–rough ER–Golgi apparatus–secretory vesicle–plasma membrane,D,high_school_biology,dev,D,"[<OpenAIObject at 0x7ff5f000f090> JSON: {
  "" A"": -12.91642,
  "" D"": -10.664747,
  ""A"": -3.044569,
  ""D"": -0.04882057,
  ""d"": -12.806256
}]","The most likely pathway that a secretory protein takes as it is synthesized in a cell is from the ribosome to the rough endoplasmic reticulum (ER), then to the Golgi apparatus, then to a secretory vesicle, and finally to the plasma membrane. This pathway is represented by option (D). Option (A) is incorrect because the protein would not go from the Golgi apparatus to the rough ER. Option (B) is incorrect because the protein would not go from the plasma membrane to the Golgi apparatus. Option (C) is incorrect because the protein would not go from the plasma membrane to the ribosome."
3,Which of the following is not known to be involved in the control of cell division?,Protein kinases,Checkpoints,Cyclins,Fibroblast cells,D,high_school_biology,dev,D,"[<OpenAIObject at 0x7ff5f00241d0> JSON: {
  "" D"": -12.768676,
  ""A"": -15.303847,
  ""C"": -16.37154,
  ""D"": -3.2906587e-06,
  ""d"": -16.060114
}]","Fibroblast cells are not known to be involved in the control of cell division. Protein kinases, checkpoints, and cyclins are all known to be involved in the control of cell division. Protein kinases are enzymes that add phosphate groups to proteins, which can activate or deactivate them. Checkpoints are points in the cell cycle where the cell must receive a signal to proceed to the next stage. Cyclins are proteins that control the progression of the cell cycle."
4,Homologous structures are often cited as evidence for the process of natural selection. All of the following are examples of homologous structures EXCEPT,the flippers of a whale and the arms of a man,the pectoral fins of a porpoise and the flippers of a seal,the wings of a bird and the wings of a bat,the forelegs of an insect and the forelimbs of a dog,D,high_school_biology,dev,D,"[<OpenAIObject at 0x7ff5f00243b0> JSON: {
  "" D"": -11.142503,
  ""A"": -11.1617155,
  ""B"": -13.790305,
  ""C"": -13.307171,
  ""D"": -3.201996e-05
}]","Homologous structures are structures that have a common evolutionary origin, but may have evolved to serve different functions. Examples of homologous structures include the flippers of a whale and the arms of a man, the pectoral fins of a porpoise and the flippers of a seal, and the wings of a bird and the wings of a bat. The forelegs of an insect and the forelimbs of a dog, however, are not homologous structures, as they do not have a common evolutionary origin."
